Date,Quantity
2010-09-11,4
2010-09-12,91
2010-09-13,91
2010-09-14,126
2010-09-15,37
2010-09-16,25
2010-09-17,198
2010-09-18,54
2010-09-19,150
2010-09-20,76
2010-09-21,42
2010-09-22,15
2010-09-23,47
2010-09-24,16
2010-09-25,76
2010-09-26,180
2010-09-27,61
2010-09-28,121
2010-09-29,61
2010-09-30,57
2010-10-01,48
2010-10-02,19
2010-10-03,246
2010-10-04,123
2010-10-05,40
2010-10-06,27
2010-10-07,114
2010-10-08,49
2010-10-09,237
2010-10-10,194
2010-10-11,124
2010-10-12,41
2010-10-13,60
2010-10-14,7
2010-10-15,38
2010-10-16,105
2010-10-17,171
2010-10-18,66
2010-10-19,15
2010-10-20,43
2010-10-21,110
2010-10-22,27
2010-10-23,93
2010-10-24,97
2010-10-25,59
2010-10-26,44
2010-10-27,27
2010-10-28,25
2010-10-29,55
2010-10-30,32
2010-10-31,146
2010-11-01,80
2010-11-02,24
2010-11-03,20
2010-11-04,47
2010-11-05,24
2010-11-06,26
2010-11-07,147
2010-11-08,151
2010-11-09,168
2010-11-10,181
2010-11-11,62
2010-11-12,21
2010-11-13,126
2010-11-14,97
2010-11-15,37
2010-11-16,28
2010-11-17,93
2010-11-18,21
2010-11-19,67
2010-11-20,75
2010-11-21,55
2010-11-22,48
2010-11-23,14
2010-11-24,36
2010-11-25,36
2010-11-26,14
2010-11-27,53
2010-11-28,111
2010-11-29,34
2010-11-30,47
2010-12-01,44
2010-12-02,147
2010-12-03,45
2010-12-04,67
2010-12-05,140
2010-12-06,54
2010-12-07,272
2010-12-08,105
2010-12-09,34
2010-12-10,98
2010-12-11,25
2010-12-12,21
2010-12-13,22
2010-12-14,28
2010-12-15,37
2010-12-16,167
2010-12-17,94
2010-12-18,57
2010-12-19,130
2010-12-20,29
2010-12-21,212
2010-12-22,20
2010-12-23,58
2010-12-24,83
2010-12-25,49
2010-12-26,83
2010-12-27,36
2010-12-28,108
2010-12-29,107
2010-12-30,78
2010-12-31,39
2011-01-01,36
2011-01-02,35
2011-01-03,88
2011-01-04,92
2011-01-05,45
2011-01-06,53
2011-01-07,17
2011-01-08,314
2011-01-09,157
2011-01-10,44
2011-01-11,33
2011-01-12,26
2011-01-13,41
2011-01-14,32
2011-01-15,67
2011-01-16,108
2011-01-17,45
2011-01-18,13
2011-01-19,66
2011-01-20,5
2011-01-21,15
2011-01-22,2
2011-01-23,189
2011-01-24,34
2011-01-25,44
2011-01-26,4
2011-01-27,62
2011-01-28,15
2011-01-29,82
2011-01-30,179
2011-02-09,117
2011-02-10,100
2011-02-11,41
2011-02-12,53
2011-02-13,123
2011-02-14,159
2011-02-15,171
2011-02-16,78
2011-02-17,84
2011-02-18,46
2011-02-19,59
2011-02-20,146
2011-02-21,62
2011-02-22,22
2011-02-23,38
2011-02-24,71
2011-02-25,18
2011-02-26,139
2011-02-27,159
2011-02-28,55
2011-03-01,145
2011-03-02,51
2011-03-03,11
2011-03-04,47
2011-03-05,21
2011-03-06,117
2011-03-07,25
2011-03-08,194
2011-03-09,60
2011-03-10,7
2011-03-11,32
2011-03-12,14
2011-03-13,53
2011-03-14,117
2011-03-15,28
2011-03-16,87
2011-03-17,69
2011-03-18,18
2011-03-19,1
2011-03-20,129
2011-03-21,33
2011-03-22,41
2011-03-23,62
2011-03-24,30
2011-03-25,95
2011-03-26,16
2011-03-27,109
2011-03-28,69
2011-03-29,29
2011-03-30,144
2011-03-31,13
2011-04-01,71
2011-04-02,67
2011-04-03,113
2011-04-04,43
2011-04-05,32
2011-04-06,170
2011-04-07,53
2011-04-08,220
2011-04-09,35
2011-04-10,144
2011-04-11,54
2011-04-12,17
2011-04-13,63
2011-04-15,36
2011-04-16,76
2011-04-17,173
2011-04-18,48
2011-04-19,33
2011-04-20,20
2011-04-21,76
2011-04-22,94
2011-04-23,39
2011-04-24,181
2011-04-25,61
2011-04-26,65
2011-04-27,116
2011-04-28,71
2011-04-29,27
2011-04-30,35
2011-05-01,44
2011-05-02,236
2011-05-03,106
2011-05-04,70
2011-05-05,115
2011-05-06,97
2011-05-07,90
2011-05-08,151
2011-05-09,51
2011-05-10,58
2011-05-11,77
2011-05-12,31
2011-05-13,84
2011-05-14,56
2011-05-15,125
2011-05-16,89
2011-05-17,158
2011-05-18,50
2011-05-19,61
2011-05-20,41
2011-05-21,12
2011-05-22,140
2011-05-23,57
2011-05-24,24
2011-05-25,44
2011-05-26,23
2011-05-27,81
2011-05-28,80
2011-05-29,149
2011-05-30,45
2011-05-31,46
2011-06-01,17
2011-06-02,74
2011-06-03,118
2011-06-04,72
2011-06-05,175
2011-06-06,113
2011-06-07,122
2011-06-08,119
2011-06-09,130
2011-06-10,91
2011-06-11,51
2011-06-12,176
2011-06-13,99
2011-06-14,26
2011-06-15,107
2011-06-16,40
2011-06-17,126
2011-06-18,27
2011-06-19,248
2011-06-20,93
2011-06-21,25
2011-06-22,163
2011-06-23,87
2011-06-24,71
2011-06-25,198
2011-06-26,301
2011-06-27,58
2011-06-28,138
2011-06-29,43
2011-06-30,54
2011-07-01,55
2011-07-02,68
2011-07-03,218
2011-07-04,100
2011-07-05,113
2011-07-06,97
2011-07-07,210
2011-07-08,182
2011-07-09,90
2011-07-10,275
2011-07-11,33
2011-07-12,31
2011-07-13,55
2011-07-14,40
2011-07-16,99
2011-07-17,223
2011-07-18,15
2011-07-19,28
2011-07-20,52
2011-07-21,88
2011-07-22,19
2011-07-23,10
2011-07-25,59
2011-07-26,444
2011-07-27,61
2011-07-28,348
2011-07-29,43
2011-07-30,22
2011-07-31,383
2011-08-01,26
2011-08-02,19
2011-08-03,42
2011-08-04,35
2011-08-05,92
2011-08-06,82
2011-08-07,290
2011-08-08,80
2011-08-09,38
2011-08-10,31
2011-08-11,43
2011-08-12,49
2011-08-13,32
2011-08-14,157
2011-08-15,229
2011-08-16,42
2011-08-17,78
2011-08-18,35
2011-08-19,25
2011-08-20,11
2011-08-21,99
2011-08-22,288
2011-08-23,62
2011-08-25,96
2011-08-26,170
2011-08-27,102
2011-08-28,86
2011-08-29,101
2011-08-30,52
2011-08-31,127
2011-09-01,76
2011-09-02,184
2011-09-03,67
2011-09-04,150
2011-09-05,120
2011-09-06,45
2011-09-07,114
2011-09-08,86
2011-09-09,148
2011-09-10,8
2011-09-11,202
2011-09-12,80
2011-09-13,24
2011-09-14,26
2011-09-15,14
2011-09-16,116
2011-09-17,22
2011-09-18,198
2011-09-19,9
2011-09-20,40
2011-09-21,26
2011-09-22,128
2011-09-23,120
2011-09-24,30
2011-09-25,112
2011-09-26,31
2011-09-27,188
2011-09-28,40
2011-09-29,123
2011-09-30,58
2011-10-01,96
2011-10-02,119
2011-10-03,32
2011-10-07,2
2011-12-07,8
2012-01-04,2
2012-01-13,4
2012-01-15,15
2012-01-16,2
2012-01-17,47
2012-01-27,124
2012-01-29,53
2012-01-30,24
2012-01-31,31
2012-02-01,15
2012-02-03,4
2012-02-05,12
2012-02-06,8
2012-02-07,14
2012-02-09,4
2012-02-11,42
2012-02-12,19
2012-02-13,17
2012-02-14,17
2012-02-19,47
2012-02-20,24
2012-02-21,58
2012-02-22,2
2012-02-23,115
2012-02-25,4
2012-02-26,64
2012-02-27,56
2012-02-28,6
2012-03-01,3
2012-03-02,161
2012-03-04,112
2012-03-05,6
2012-03-06,33
2012-03-07,29
2012-03-08,69
2012-03-10,5
2012-03-11,50
2012-03-12,23
2012-03-13,16
2012-03-14,15
2012-03-16,3
2012-03-18,11
2012-03-20,8
2012-03-21,7
2012-03-25,35
2012-03-28,66
2012-03-29,4
2012-03-31,30
2012-04-01,11
2012-04-03,1
2012-04-04,31
2012-04-05,47
2012-04-06,38
2012-04-08,15
2012-04-09,27
2012-04-10,87
2012-04-11,12
2012-04-12,12
2012-04-13,37
2012-04-14,34
2012-04-15,23
2012-04-16,28
2012-04-17,13
2012-04-21,12
2012-04-22,17
2012-04-23,53
2012-04-24,2
2012-04-25,25
2012-04-27,37
2012-04-28,118
2012-04-29,16
2012-04-30,29
2012-05-03,14
2012-05-04,14
2012-05-06,1
2012-05-07,8
2012-05-08,80
2012-05-09,36
2012-05-10,13
2012-05-11,11
2012-05-12,13
2012-05-14,3
2012-05-18,14
2012-05-19,5
2012-05-20,8
2012-05-21,4
2012-05-22,4
2012-05-28,27
2012-05-29,8
2012-05-30,24
2012-05-31,20
2012-06-01,28
2012-06-02,73
2012-06-04,4
2012-06-05,8
2012-06-06,49
2012-06-07,9
2012-06-08,32
2012-06-09,56
2012-06-10,97
2012-06-11,10
2012-06-12,30
2012-06-15,21
2012-06-16,6
2012-06-17,5
2012-06-18,5
2012-06-21,8
2012-06-22,11
2012-06-23,6
2012-06-24,40
2012-06-25,195
2012-06-28,3
2012-06-30,98
2012-07-01,32
2012-07-03,3
2012-07-06,21
2012-07-07,12
2012-07-08,13
2012-07-13,15
2012-07-15,27
2012-07-16,6
2012-07-20,13
2012-07-22,30
2012-07-28,4
2012-07-30,9
2012-08-04,6
2012-08-08,13
2012-08-12,5
2012-08-13,5
2012-08-14,3
2012-08-15,142
2012-08-16,5
2012-08-17,49
2012-08-20,9
2012-08-21,25
2012-08-22,68
2012-08-26,4
2012-08-27,14
2012-08-30,11
2012-08-31,6
2012-09-02,5
2012-09-03,5
2012-09-05,2
2012-09-09,25
2012-09-10,29
2012-09-12,3
2012-09-16,54
2012-09-17,20
2012-09-18,13
2012-09-19,10
2012-09-23,23
2012-09-24,10
2012-09-30,89
2012-10-01,7
2012-10-07,26
2012-10-09,23
2012-10-11,49
2012-10-12,24
2012-10-14,20
2012-10-15,15
2012-10-19,70
2012-10-20,52
2012-10-21,116
2012-10-22,44
2012-10-23,30
2012-10-24,21
2012-10-25,18
2012-10-28,9
2012-11-01,4
2012-11-04,26
2012-11-07,4
2012-11-08,72
2012-11-10,22
2012-11-14,13
2012-11-15,31
2012-11-16,10
2012-11-18,16
2012-11-20,14
2012-11-24,2
2012-12-01,90
2012-12-02,19
2012-12-03,10
2012-12-04,10
2012-12-05,77
2012-12-06,53
2012-12-07,2
2012-12-08,4
2012-12-09,14
2012-12-10,74
2012-12-11,11
2012-12-12,3
2012-12-13,14
2012-12-15,2
2012-12-19,23
2012-12-22,3
2012-12-23,37
2012-12-24,3
2012-12-25,13
2012-12-29,3
2012-12-30,20
2012-12-31,3
2013-01-01,31
2013-01-02,71
2013-01-03,104
2013-01-04,6
2013-01-05,38
2013-01-06,13
2013-01-07,3
2013-01-08,28
2013-01-09,29
2013-01-10,9
2013-01-11,3
2013-01-12,8
2013-01-13,37
2013-01-15,11
2013-01-16,22
2013-01-27,42
2013-01-29,29
2013-01-31,105
2013-02-02,3
2013-02-13,18
2013-02-15,38
2013-02-16,31
2013-02-17,52
2013-02-18,74
2013-02-21,2
2013-02-23,6
2013-02-24,29
2013-03-03,29
2013-03-04,4
2013-03-06,1
2013-03-08,9
2013-03-09,8
2013-03-10,11
2013-03-28,9
2013-03-30,67
2013-03-31,10
2013-04-01,61
2013-04-05,2
2013-04-12,10
2013-04-16,23
2013-04-28,29
2013-05-12,34
2013-05-13,19
2013-05-23,24
2013-05-28,23
2013-06-02,6
2013-06-03,4
2013-06-08,70
2013-06-09,31
2013-06-12,14
2013-06-13,182
2013-06-16,31
2013-06-17,47
2013-06-20,56
2013-06-23,67
2013-06-24,8
2013-06-28,18
2013-06-29,25
2013-06-30,99
2013-07-04,30
2013-07-05,3
2013-07-07,53
2013-07-11,18
2013-07-14,7
2013-07-24,5
2013-07-25,47
2013-07-28,117
2013-07-30,3
2013-08-02,154
2013-08-04,22
2013-08-05,23
2013-08-07,5
2013-08-08,71
2013-08-10,33
2013-08-11,22
2013-08-12,76
2013-08-13,10
2013-08-14,85
2013-08-15,29
2013-08-16,220
2013-08-17,382
2013-08-18,163
2013-08-19,95
2013-08-20,35
2013-08-21,83
2013-08-22,23
2013-08-23,2
2013-08-24,44
2013-08-25,113
2013-08-26,53
2013-08-27,9
2013-08-28,24
2013-08-29,34
2013-08-30,12
2013-08-31,147
2013-09-01,69
2013-09-02,18
2013-09-03,183
2013-09-04,70
2013-09-05,19
2013-09-06,83
2013-09-07,65
2013-09-08,148
2013-09-09,39
2013-09-10,61
2013-09-12,9
2013-09-13,22
2013-09-14,32
2013-09-15,63
2013-09-16,60
2013-09-17,3
2013-09-18,26
2013-09-21,13
2013-09-22,52
2013-09-23,1
2013-09-24,14
2013-09-25,7
2013-09-26,6
2013-09-27,18
2013-09-28,71
2013-09-29,234
2013-09-30,21
2013-10-01,19
2013-10-03,23
2013-10-04,7
2013-10-05,89
2013-10-06,161
2013-10-07,5
2013-10-08,212
2013-10-09,60
2013-10-10,317
2013-10-11,20
2013-10-12,10
2013-10-13,40
2013-10-14,7
2013-10-15,96
2013-10-16,48
2013-10-18,25
2013-10-19,10
2013-10-20,36
2013-10-21,3
2013-10-22,6
2013-10-23,12
2013-10-25,27
2013-10-27,98
2013-10-28,49
2013-10-29,24
2013-10-30,24
2013-10-31,24
2013-11-01,108
2013-11-02,11
2013-11-03,259
2013-11-04,38
2013-11-05,51
2013-11-06,14
2013-11-07,17
2013-11-08,124
2013-11-09,48
2013-11-10,70
2013-11-11,20
2013-11-12,36
2013-11-13,20
2013-11-14,12
2013-11-15,3
2013-11-16,32
2013-11-17,23
2013-11-18,57
2013-11-19,9
2013-11-20,7
2013-11-21,14
2013-11-22,49
2013-11-23,88
2013-11-24,17
2013-11-25,4
2013-11-26,43
2013-11-27,34
2013-11-28,9
2013-11-29,57
2013-11-30,56
2013-12-01,152
2013-12-02,10
2013-12-03,29
2013-12-04,63
2013-12-05,49
2013-12-06,6
2013-12-07,62
2013-12-08,28
2013-12-09,63
2013-12-10,234
2013-12-11,7
2013-12-12,41
2013-12-13,56
2013-12-14,16
2013-12-15,57
2013-12-16,33
2013-12-17,44
2013-12-18,31
2013-12-19,39
2013-12-20,15
2013-12-21,8
2013-12-22,18
2013-12-23,8
2013-12-24,71
2013-12-25,11
2013-12-26,9
2013-12-27,61
2013-12-29,49
2013-12-30,35
2013-12-31,80
2014-01-01,95
2014-01-02,62
2014-01-03,75
2014-01-04,9
2014-01-05,167
2014-01-06,32
2014-01-07,11
2014-01-08,26
2014-01-09,50
2014-01-10,5
2014-01-11,11
2014-01-12,66
2014-01-13,40
2014-01-14,16
2014-01-15,30
2014-01-16,32
2014-01-17,22
2014-01-18,11
2014-01-19,143
2014-01-20,22
2014-01-22,85
2014-01-23,29
2014-01-24,11
2014-02-04,100
2014-02-05,33
2014-02-06,85
2014-02-07,7
2014-02-08,112
2014-02-09,82
2014-02-10,13
2014-02-11,23
2014-02-12,66
2014-02-13,5
2014-02-14,23
2014-02-15,16
2014-02-16,132
2014-02-17,22
2014-02-18,22
2014-02-19,35
2014-02-20,39
2014-02-21,41
2014-02-22,15
2014-02-23,129
2014-02-24,15
2014-02-25,41
2014-02-26,64
2014-02-27,9
2014-02-28,131
2014-03-01,14
2014-03-02,62
2014-03-03,59
2014-03-14,33
2014-03-15,22
2014-03-16,113
2014-03-17,15
2014-03-18,12
2014-03-19,24
2014-03-20,48
2014-03-21,56
2014-03-22,20
2014-03-23,31
2014-03-24,97
2014-03-25,73
2014-03-26,36
2014-03-27,11
2014-03-28,17
2014-03-29,28
2014-03-30,93
2014-03-31,134
2014-04-01,41
2014-04-02,25
2014-04-03,7
2014-04-04,17
2014-04-05,63
2014-04-06,94
2014-04-07,22
2014-04-08,17
2014-04-09,70
2014-04-10,146
2014-04-11,35
2014-04-12,9
2014-04-13,208
2014-04-14,25
2014-04-15,14
2014-04-16,8
2014-04-17,19
2014-04-18,18
2014-04-19,45
2014-04-20,81
2014-04-21,62
2014-04-22,8
2014-04-23,18
2014-04-24,7
2014-04-25,10
2014-04-26,5
2014-04-27,56
2014-04-28,95
2014-04-29,9
2014-04-30,37
2014-05-01,15
2014-05-02,12
2014-05-03,12
2014-05-04,108
2014-05-05,35
2014-05-06,9
2014-05-07,22
2014-05-08,22
2014-05-09,23
2014-05-10,5
2014-05-11,115
2014-05-12,195
2014-05-13,4
2014-05-14,80
2014-05-15,26
2014-05-16,111
2014-05-18,130
2014-05-19,6
2014-05-20,19
2014-05-21,24
2014-05-22,65
2014-05-23,54
2014-05-24,48
2014-05-25,55
2014-05-26,13
2014-05-27,9
2014-05-28,27
2014-05-29,29
2014-05-30,10
2014-05-31,30
2014-06-01,18
2014-06-02,47
2014-06-03,75
2014-06-04,31
2014-06-05,20
2014-06-06,66
2014-06-07,29
2014-06-08,22
2014-06-09,32
2014-06-10,108
2014-06-11,21
2014-06-12,35
2014-06-13,43
2014-06-15,89
2014-06-16,18
2014-06-17,72
2014-06-18,10
2014-06-19,29
2014-06-20,33
2014-06-21,14
2014-06-22,109
2014-06-25,12
2014-06-26,193
2014-06-27,58
2014-06-28,15
2014-06-29,109
2014-06-30,63
2014-07-01,24
2014-07-02,31
2014-07-03,65
2014-07-04,12
2014-07-05,34
2014-07-06,156
2014-07-07,28
2014-07-08,43
2014-07-09,99
2014-07-10,44
2014-07-11,9
2014-07-12,7
2014-07-13,115
2014-07-14,119
2014-07-15,71
2014-07-16,23
2014-07-17,7
2014-07-18,43
2014-07-20,101
2014-07-21,80
2014-07-22,26
2014-07-23,102
2014-07-24,30
2014-07-25,17
2014-07-27,55
2014-07-28,65
2014-07-29,22
2014-07-30,85
2014-07-31,79
2014-08-01,93
2014-08-02,66
2014-08-03,16
2014-08-04,79
2014-08-05,50
2014-08-06,8
2014-08-07,79
2014-08-08,36
2014-08-09,21
2014-08-10,96
2014-08-11,75
2014-08-12,62
2014-08-13,182
2014-08-15,60
2014-08-16,13
2014-08-17,117
2014-08-18,44
2014-08-19,12
2014-08-20,20
2014-08-21,30
2014-08-22,21
2014-08-23,42
2014-08-24,133
2014-08-25,4
2014-08-26,3
2014-08-27,7
2014-08-28,53
2014-08-29,45
2014-08-30,10
2014-08-31,3
2014-09-01,274
2014-09-02,13
2014-09-03,5
2014-09-05,35
2014-09-06,42
2014-09-07,171
2014-09-08,4
2014-09-09,67
2014-09-10,68
2014-09-11,24
2014-09-12,24
2014-09-13,21
2014-09-14,20
2014-09-15,27
2014-09-16,41
2014-09-17,37
